study,year,esID,yi,vi,group,time,mT,sdT,nT,mC,sdC,nC,formula,outcome,cont.type,last_treat_2_test_time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral,n_outcome,sign_.
Al-Ahmad & Al-Jarrah,2015,1,1.68074562561521,0.208171266500474,1,0,60.348,21.54,13,28.899,13.88,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,FALSE
Al-Ahmad & Al-Jarrah,2015,2,4.12205671407215,0.480602914500526,2,0,82.924,11.38,13,28.899,13.88,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,FALSE
Al-Ahmad & Al-Jarrah,2015,3,2.60044330791934,0.283890488417355,1,1,74.312,11.36,13,32.521,18.85,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,FALSE
Al-Ahmad & Al-Jarrah,2015,4,3.45719391014061,0.383695956390641,2,1,88.662,11.8,13,32.521,18.85,13,pcorrect,1,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,FALSE
Al-Ahmad & Al-Jarrah,2015,5,1.54629293606363,0.199827343156159,1,2,68.874,14.98,13,39.895,20.84,13,pcorrect,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,FALSE
Al-Ahmad & Al-Jarrah,2015,6,3.07152281904902,0.33527408515267,2,2,90.29,8.4,13,39.895,20.84,13,pcorrect,1,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Ajmi,2015,7,0.21953723383568,0.0804819659704022,1,0,1.68,1.069,25,1.44,1.083,25,ncorrect,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,FALSE
Al Ajmi,2015,8,3.5450271783219,0.205672176950409,1,1,7.4,2.217,25,1.08,1.115,25,ncorrect,1,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,FALSE
Al Ajmi,2015,9,4.45442672487846,0.278419174473114,1,2,8.08,1.754,25,1.48,1.085,25,ncorrect,1,1,2,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitchener & Knoch a,2008,10,0.624126035112313,0.1140874930294,1,0,67.59,19.26,17,51.9,28.32,20,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1,1,FALSE
Bitchener & Knoch a,2008,11,0.0465971766219554,0.105584125251202,2,0,53.11,21.73,18,51.9,28.32,20,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0,1,FALSE
Bitchener & Knoch a,2008,12,0.30581091998874,0.101169003984804,3,0,59.35,18.39,20,51.9,28.32,20,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0,1,FALSE
Bitchener & Knoch a,2008,13,1.47999300034756,0.138423249426329,1,1,82.53,14.33,17,52.75,23.26,20,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1,1,FALSE
Bitchener & Knoch a,2008,14,1.20032018519664,0.124513036437009,2,1,77.5,16.07,18,52.75,23.26,20,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0,1,FALSE
Bitchener & Knoch a,2008,15,1.48250866668805,0.127472899335064,3,1,81.25,13,20,52.75,23.26,20,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0,1,FALSE
Bitchener & Knoch a,2008,16,1.05368734497734,0.123827002668054,1,2,82.65,15.47,17,63.9,18.89,20,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1,1,FALSE
Bitchener & Knoch a,2008,17,0.638436368185993,0.110918726558483,2,2,76.78,20.67,18,63.9,18.89,20,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0,1,FALSE
Bitchener & Knoch a,2008,18,0.998110085805812,0.112452796792341,3,2,80.05,12.09,20,63.9,18.89,20,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitchener & Knoch b,2010,19,0.128555334712551,0.167010968210063,1,0,87.08,13.22,12,85.58,8.89,12,pcorrect,1,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0,1,FALSE
Bitchener & Knoch b,2010,20,0.556431181482615,0.12433980190532,2,0,90.59,8.79,27,85.58,8.89,12,pcorrect,1,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0,1,FALSE
Bitchener & Knoch b,2010,21,-0.222649337310875,0.167699431820936,3,0,83.08,12.49,12,85.58,8.89,12,pcorrect,1,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1,1,FALSE
Bitchener & Knoch b,2010,22,1.36353085497656,0.205400341509856,1,1,95.92,5.48,12,86.17,8.08,12,pcorrect,1,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0,1,FALSE
Bitchener & Knoch b,2010,23,1.16072516949891,0.137643228307656,2,1,93.18,4.71,27,86.17,8.08,12,pcorrect,1,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0,1,FALSE
Bitchener & Knoch b,2010,24,1.13996804102323,0.193740148636548,3,1,94.17,5.15,12,86.17,8.08,12,pcorrect,1,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1,1,FALSE
Bitchener & Knoch b,2010,25,1.12599956097094,0.193080729402224,1,2,96.25,4,12,85.92,11.87,12,pcorrect,1,0,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0,1,FALSE
Bitchener & Knoch b,2010,26,0.776889469946516,0.128108283812854,2,2,92.76,6.8,27,85.92,11.87,12,pcorrect,1,0,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0,1,FALSE
Bitchener & Knoch b,2010,27,0.994787162641902,0.187283364561606,3,2,95.33,5.09,12,85.92,11.87,12,pcorrect,1,0,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitchener & Knoch c,2010,28,0.147415627474434,0.154264064754301,1,0,62.46,11.98,13,60.17,17.58,13,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,1,FALSE
Bitchener & Knoch c,2010,29,-0.249384998074534,0.155042170716627,2,0,55.31,20.08,13,60.17,17.58,13,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,30,-0.0243753523217022,0.153857579957707,3,0,59.69,20.45,13,60.17,17.58,13,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,31,1.32052414089855,0.187380461667228,1,1,89.23,8.22,13,67.08,21.45,13,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,1,FALSE
Bitchener & Knoch c,2010,32,0.959518987340627,0.171551474751291,2,1,83.77,10.36,13,67.08,21.45,13,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,33,0.641599425249549,0.161762496586164,3,1,79.15,14.27,13,67.08,21.45,13,pcorrect,1,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,34,1.28242625963196,0.185473405988339,1,2,79.61,10.29,13,56.62,22.29,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,1,FALSE
Bitchener & Knoch c,2010,35,1.32256611043157,0.187484252239655,1,3,84.31,12.33,13,62.46,18.97,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,1,FALSE
Bitchener & Knoch c,2010,36,2.15048424157689,0.242780432178279,1,4,88.38,9.53,13,58.92,16.16,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,1,FALSE
Bitchener & Knoch c,2010,37,1.20242429584424,0.181650465139163,2,2,78.46,11.04,13,56.62,22.29,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,38,1.20286826751602,0.181671001326865,2,3,81.69,10.93,13,62.46,18.97,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,39,2.23596009544663,0.249990722085186,2,4,88.77,8.55,13,58.92,16.16,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,40,1.21442572340103,0.18220826610881,3,2,79.84,13.74,13,56.62,22.29,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,41,0.934354475330546,0.170634967030196,3,3,78.31,13.41,13,62.46,18.97,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,1,FALSE
Bitchener & Knoch c,2010,42,1.44813868689807,0.19417510877867,3,4,81.46,13.9,13,58.92,16.16,13,pcorrect,1,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bitchener, Young & Cameron",2005,43,0.208431961644073,0.112058495617949,1,0,82.21,7.03,19,80.31,10.64,17,pcorrect,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,8,88,1,99,1,3,FALSE
"Bitchener, Young & Cameron",2005,44,1.16905840302645,0.130437018771449,1,0,91.64,8.66,19,75.69,17.14,17,pcorrect,2,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,8,88,1,99,1,3,FALSE
"Bitchener, Young & Cameron",2005,45,0.22334997452891,0.112147958513606,1,0,63,37.22,19,55.31,29.15,17,pcorrect,3,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,8,88,1,99,1,3,FALSE
"Bitchener, Young & Cameron",2005,46,0.313165599078741,0.119089304300681,2,0,83.71,10.56,17,80.31,10.64,17,pcorrect,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,0,88,1,99,0,3,FALSE
"Bitchener, Young & Cameron",2005,47,0.294638180391323,0.118923700843298,2,0,81.07,18.49,17,75.69,17.14,17,pcorrect,2,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,0,88,1,99,0,3,FALSE
"Bitchener, Young & Cameron",2005,48,0.456746787197843,0.120714965111993,2,0,69.29,30.6,17,55.31,29.15,17,pcorrect,3,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,0,88,1,99,0,3,FALSE
"Bitchener, Young & Cameron",2005,49,0.853754276165508,0.121578668971228,1,1,84.79,8.92,19,77.38,7.97,17,pcorrect,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,8,88,1,99,1,3,FALSE
"Bitchener, Young & Cameron",2005,50,0.749260728242207,0.119252214454772,1,1,91.5,11.22,19,82.92,11.17,17,pcorrect,2,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,8,88,1,99,1,3,FALSE
"Bitchener, Young & Cameron",2005,51,1.74361252479492,0.153679894978879,1,1,83.93,14.4,19,47.62,25.45,17,pcorrect,3,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,8,88,1,99,1,3,FALSE
"Bitchener, Young & Cameron",2005,52,-0.170742522104454,0.118075779541979,2,1,75.79,10.09,17,77.38,7.97,17,pcorrect,1,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,0,88,1,99,0,3,FALSE
"Bitchener, Young & Cameron",2005,53,-0.35940398000308,0.119546635600618,2,1,77.86,15.91,17,82.92,11.17,17,pcorrect,2,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,0,88,1,99,0,3,FALSE
"Bitchener, Young & Cameron",2005,54,0.638906427606717,0.123650020929958,2,1,61.93,17.57,17,47.62,25.45,17,pcorrect,3,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,0,88,1,99,0,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonilla et al,2018,55,-0.309509834978472,0.0723751201036945,1,0,0.39,0.25,29,0.31,0.26,27,pcorrect,1,2,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0,1,TRUE
Bonilla et al,2018,56,-0.0788580862222206,0.0728078554582557,2,0,0.33,0.24,28,0.31,0.26,27,pcorrect,1,2,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0,1,TRUE
Bonilla et al,2018,57,0.955452182807681,0.0796705891722977,1,1,0.18,0.16,29,0.36,0.21,27,pcorrect,1,2,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0,1,TRUE
Bonilla et al,2018,58,0.721413064422958,0.0774825664742329,2,1,0.21,0.2,28,0.36,0.21,27,pcorrect,1,2,1,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0,1,TRUE
Bonilla et al,2018,59,1.53149181147728,0.0924614668061371,1,2,0.13,0.13,29,0.39,0.2,27,pcorrect,1,2,3,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,0,88,1,1,0,1,TRUE
Bonilla et al,2018,60,0.97392074778756,0.0813742465965143,2,2,0.22,0.14,28,0.39,0.2,27,pcorrect,1,2,3,2,0,1,2,2,2,1,2,99,1,1,1,0,2,1,1,0,1,99,1,0,0,0,0,2,1,1,1,0,1,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown,2017,61,-0.104310884466086,0.0482653144626742,1,0,21.83,14.44,41,20.3,14.62,42,perror,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,62,0.235274312811173,0.0485332255569554,1,0,15.13,8.76,41,17.62,11.93,42,perror,2,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0,4,TRUE
Brown,2017,63,-0.109648728001904,0.048272194480351,1,0,6.2,6.35,41,5.58,4.76,42,perror,3,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,64,-0.00505043588900193,0.048199921368003,1,0,6.4,4.38,41,6.37,7.05,42,perror,4,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,65,-0.116576738735388,0.0466158089554836,2,0,22,14.29,44,20.3,14.62,42,perror,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,66,0.384375159761221,0.047395774812619,2,0,13.67,8.18,44,17.62,11.93,42,perror,2,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0,4,TRUE
Brown,2017,67,-0.194242880473841,0.0467561587264173,2,0,6.5,4.63,44,5.58,4.76,42,perror,3,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,68,0.298796711562434,0.0470558632509856,2,0,4.68,3.74,44,6.37,7.05,42,perror,4,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,69,0.452113654488658,0.0494311337154272,1,1,13.46,10.87,41,18.58,11.55,42,perror,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,70,0.66038376503374,0.0508269166102769,1,1,13.64,8.58,41,19.94,10.23,42,perror,2,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0,4,TRUE
Brown,2017,71,0.268141894696611,0.0486329006980561,1,1,6.35,4.3,41,7.85,6.53,42,perror,3,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,72,0.131849375276475,0.0483044921563049,1,1,4.95,5.31,41,5.62,4.75,42,perror,4,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,73,0.0781818416292144,0.0482365894008817,1,2,21.49,14.41,41,22.62,14.23,42,perror,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,74,0.25381952503097,0.0485878662136914,1,2,14.74,11.14,41,17.46,10.08,42,perror,2,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,0,88,1,1,0,4,TRUE
Brown,2017,75,-0.33866907010979,0.0488907119231015,1,2,7.76,6.09,41,5.87,4.92,42,perror,3,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,76,-0.0574990619791461,0.0482196842308091,1,2,4.71,4.57,41,4.45,4.39,42,perror,4,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,0,88,1,1,0,4,TRUE
Brown,2017,77,0.482489086459533,0.0478902600167532,2,1,13.43,9.56,44,18.58,11.55,42,perror,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,78,0.278313186379241,0.046987135081637,2,1,16.95,11.03,44,19.94,10.23,42,perror,2,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0,4,TRUE
Brown,2017,79,0.104333340847147,0.0466000840136123,2,1,7.19,6.01,44,7.85,6.53,42,perror,3,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,80,0.252629713542988,0.0469078533517082,2,1,4.48,4.19,44,5.62,4.75,42,perror,4,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,81,0.107387853668049,0.0466038439270025,2,2,20.98,15.95,44,22.62,14.23,42,perror,1,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
