study,year,esID,yi,vi,group,time,mT,sdT,nT,mC,sdC,nC,formula,outcome,cont.type,last_treat_2_test_time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral,n_outcome,sign_.
Brown,2017,82,0.651935419809838,0.0490078418368118,2,2,11.65,7.45,44,17.46,10.08,42,perror,2,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,1,1,2,1,1,1,0,4,TRUE
Brown,2017,83,0.385801361473048,0.0474021610165317,2,2,4.15,3.88,44,5.87,4.92,42,perror,3,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
Brown,2017,84,0.134147431560987,0.04664142173095,2,2,3.78,5.43,44,4.45,4.39,42,perror,4,1,2,3,0,2,2,2,2,1,2,1,0,1,1,0,2,0,1,0,3,0,1,0,1,10,1,2,1,1,1,0,4,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diab a,2015,85,-0.200819772134191,0.106086194777661,1,0,0.31,0.39,20,0.23,0.39,18,perror,1,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0,2,TRUE
Diab a,2015,86,-0.323599428090731,0.106933405422143,1,0,3.54,1.21,20,3.08,1.57,18,perror,2,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0,2,TRUE
Diab a,2015,87,0.205224530173681,0.108756284608126,2,0,0.16,0.27,19,0.23,0.39,18,perror,1,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0,2,TRUE
Diab a,2015,88,0.125135283896096,0.108398740439082,2,0,2.85,1.99,19,3.08,1.57,18,perror,2,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0,2,TRUE
Diab a,2015,89,0.524797150186569,0.109179398303502,1,1,0.02,0.06,20,0.07,0.12,18,perror,1,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0,2,TRUE
Diab a,2015,90,0.187794555089506,0.106019592330835,1,1,1.38,0.89,20,1.53,0.64,18,perror,2,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0,2,TRUE
Diab a,2015,91,-0.305986407051836,0.109452373439417,2,1,0.12,0.19,19,0.07,0.12,18,perror,1,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0,2,TRUE
Diab a,2015,92,0.559333770598055,0.112414894866862,2,1,1.22,0.43,19,1.53,0.64,18,perror,2,2,1,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0,2,TRUE
Diab a,2015,93,0.115353581218906,0.105730640406871,1,2,0.05,0.08,20,0.06,0.09,18,perror,1,2,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0,2,TRUE
Diab a,2015,94,0.929787776360144,0.116930625411723,1,2,1.38,0.55,20,1.93,0.61,18,perror,2,2,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,8,1,0,1,0,2,TRUE
Diab a,2015,95,0.385882708008927,0.110199370507522,2,2,0.03,0.06,19,0.06,0.09,18,perror,1,2,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0,2,TRUE
Diab a,2015,96,-0.0107661602804728,0.10818870085707499,2,2,1.94,1.12,19,1.93,0.61,18,perror,2,2,4,3,0,1,2,2,2,1,99,1,99,99,0,0,2,0,1,0,99,1,0,0,99,10,2,3,1,0,1,0,2,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diab b,2016,97,-0.329110609308072,0.111582747526603,1,0,0.21,0.28,21,0.12,0.25,16,perror,1,2,1,1,0,1,2,2,2,1,99,1,99,99,1,0,77,1,1,0,99,1,0,0,99,10,2,3,88,2,99,0,2,TRUE
Diab b,2016,98,-0.365775793832801,0.111927046691399,1,0,1.61,1.5,21,1.13,0.92,16,perror,2,2,1,1,0,1,2,2,2,1,99,1,99,99,1,0,77,1,1,0,99,1,0,0,99,10,2,3,88,2,99,0,2,TRUE
Diab b,2016,99,-0.0113050236857267,0.110120774694189,1,1,0.22,0.44,21,0.15,9.24,16,perror,1,2,1,1,0,1,2,2,2,1,99,1,99,99,1,0,77,1,1,0,99,1,0,0,99,10,2,3,88,2,99,0,2,TRUE
Diab b,2016,100,-0.35928664954854,0.11186346513991,1,1,0.87,0.82,21,0.62,0.43,16,perror,2,2,1,1,0,1,2,2,2,1,99,1,99,99,1,0,77,1,1,0,99,1,0,0,99,10,2,3,88,2,99,0,2,TRUE
Diab b,2016,101,0,0.110119047619047,1,2,0.08,0.11,21,0.08,0.11,16,perror,1,2,4,1,0,1,2,2,2,1,99,1,99,99,1,0,77,1,1,0,99,1,0,0,99,10,2,3,88,2,99,0,2,TRUE
Diab b,2016,102,-1.27857823619337,0.132210430133471,1,2,1.97,1.04,21,0.84,0.55,16,perror,2,2,4,1,0,1,2,2,2,1,99,1,99,99,1,0,77,1,1,0,99,1,0,0,99,10,2,3,88,2,99,0,2,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dlaska & Krekeler,2013,103,0.099402187485801,0.0262309203163227,1,0,81.6,10.8,73,80.5,11.2,80,pcorrect,1,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,0,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,104,-0.433362430682766,0.0293357536519117,1,0,85.7,13.7,66,90.3,6.6,74,pcorrect,2,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,0,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,105,0.0809738731752855,0.026410457205129,2,0,81.4,10.9,72,80.5,11.2,80,pcorrect,1,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,1,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,106,0.0135010625389765,0.0299076312427224,2,0,90.4,8.2,61,90.3,6.6,74,pcorrect,2,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,1,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,107,0.210102480773405,0.0263428884782514,1,1,83.1,11.1,73,80.8,10.7,80,pcorrect,1,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,0,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,108,-0.0931709780911384,0.0286960316334517,1,1,88.8,10.5,66,89.6,6.3,74,pcorrect,2,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,0,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,109,0.437225619992229,0.0270177252138151,2,1,85,8.1,72,80.8,10.7,80,pcorrect,1,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,1,2,99,0,1,1,88,0,1,0,2,FALSE
Dlaska & Krekeler,2013,110,0.230014116703122,0.0301029061138077,2,1,91.2,7.6,61,89.6,6.3,74,pcorrect,2,0,2,2,0,0,2,2,2,1,99,1,1,1,0,0,99,0,1,0,99,0,1,2,99,0,1,1,88,0,1,0,2,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ekiert & di Gennaro,2019,111,-0.178201891296536,0.101407049935871,1,0,0.457,0.22,22,0.497,0.22,18,pcorrect,1,1,1,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,0,88,99,2,0,1,FALSE
Ekiert & di Gennaro,2019,112,-0.0659189339032043,0.0990868079598394,2,0,0.484,0.17,23,0.497,0.22,18,pcorrect,1,1,1,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,8,88,99,2,0,1,FALSE
Ekiert & di Gennaro,2019,113,-0.14914630767526,0.101288158773765,1,1,0.62,0.21,22,0.65,0.18,18,pcorrect,1,1,1,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,0,88,99,2,0,1,FALSE
Ekiert & di Gennaro,2019,114,-0.547191546408707,0.102685262625866,2,1,0.533,0.23,23,0.65,0.18,18,pcorrect,1,1,1,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,8,88,99,2,0,1,FALSE
Ekiert & di Gennaro,2019,115,-0.173054138023585,0.101384447693689,1,2,0.601,0.18,22,0.637,0.23,18,pcorrect,1,1,4,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,0,88,99,2,0,1,FALSE
Ekiert & di Gennaro,2019,116,-0.2787599534275,0.0999814641279854,2,2,0.57,0.24,23,0.637,0.23,18,pcorrect,1,1,4,3,1,1,1,2,2,1,99,0,1,99,1,0,5,0,0,0,99,0,99,1,99,1,2,8,88,99,2,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellis et al,2008,117,0.794979633307656,0.196181650394863,1,0,0.734,0.076,11,0.588,0.238,11,pcorrect,1,1,1,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,2,0,88,2,2,0,1,FALSE
Ellis et al,2008,118,0.172178358725042,0.168449780065777,2,0,0.623,0.153,13,0.588,0.238,11,pcorrect,1,1,1,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,0,0,88,2,2,0,1,FALSE
Ellis et al,2008,119,0.421556144236658,0.185857035971447,1,1,0.822,0.15,11,0.74,0.218,11,pcorrect,1,1,1,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,2,0,88,2,2,0,1,FALSE
Ellis et al,2008,120,0.461227861003244,0.172264066577285,2,1,0.829,0.155,13,0.74,0.218,11,pcorrect,1,1,1,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,0,0,88,2,2,0,1,FALSE
Ellis et al,2008,121,1.59052269661051,0.239312782918936,1,2,0.899,0.076,11,0.663,0.187,11,pcorrect,1,1,3,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,2,0,88,2,2,0,1,FALSE
Ellis et al,2008,122,1.00067034628385,0.188693441622414,2,2,0.832,0.14,13,0.663,0.187,11,pcorrect,1,1,3,3,1,1,2,2,2,1,99,0,99,1,0,0,5,1,0,0,99,0,0,1,99,1,0,0,88,2,2,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evans, Hartshorn, & Strong",2011,123,-0.352435856880939,0.135998755315494,1,0,0.471,0.112,16,0.514,0.126,14,pcorrect,1,1,2,4,0,1,1,2,2,2,99,99,99,0,1,0,2,0,1,0,1,1,88,2,99,0,0,2,1,0,1,0,1,FALSE
"Evans, Hartshorn, & Strong",2011,124,0.472609789793292,0.137651238318712,1,1,0.578,0.109,16,0.503,0.194,14,pcorrect,1,1,2,4,0,1,1,2,2,2,99,99,99,0,1,0,2,0,1,0,1,1,88,2,99,0,0,2,1,0,1,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fazio,2001,125,-0.2374074132822,0.13007573569701,1,0,0.101,0.047,16,0.086,0.074,15,perror,1,1,2,99,1,1,1,0,0,77,99,99,1,99,0,0,6,0,0,0,99,99,99,1,99,0,1,0,88,1,2,0,1,TRUE
Fazio,2001,126,-0.168763078100934,0.133808016275501,2,0,0.098,0.064,15,0.086,0.074,15,perror,1,1,2,99,1,1,1,0,0,77,99,99,1,99,0,0,6,0,0,0,99,99,99,1,99,0,1,1,88,1,2,0,1,TRUE
Fazio,2001,127,-0.348552268028678,0.131126161562601,1,1,0.13,0.123,16,0.095,0.06,15,perror,1,1,2,99,1,1,1,0,0,77,99,99,1,99,0,0,6,0,0,0,99,99,99,1,99,0,1,0,88,1,2,0,1,TRUE
Fazio,2001,128,-0.718449140298607,0.141936152786596,2,1,0.155,0.098,15,0.095,0.06,15,perror,1,1,2,99,1,1,1,0,0,77,99,99,1,99,0,0,6,0,0,0,99,99,99,1,99,0,1,1,88,1,2,0,1,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frear & Chiu,2016,129,0.452881096517485,0.149495856325884,1,0,72.38,13.72,12,64.1,20.2,16,TLU,1,0,1,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0,1,FALSE
Frear & Chiu,2016,130,0.299601028893654,0.135424584370473,2,0,69.84,16.66,14,64.1,20.2,16,TLU,1,0,1,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0,1,FALSE
Frear & Chiu,2016,131,0.798314839173464,0.157213808019843,1,1,86.32,12.05,12,65.86,31.09,16,TLU,1,0,1,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0,1,FALSE
Frear & Chiu,2016,132,0.868196110128206,0.146491312855933,2,1,87.37,11.67,14,65.86,31.09,16,TLU,1,0,1,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0,1,FALSE
Frear & Chiu,2016,133,0.897354596864318,0.160212713199646,1,2,84.4,10.09,12,62.94,29.32,16,TLU,1,0,2,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0,1,FALSE
Frear & Chiu,2016,134,0.861960588443424,0.146311505695733,2,2,83.55,13.18,14,62.94,29.32,16,TLU,1,0,2,1,99,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,1,0,2,2,1,88,1,0,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guo,2015,135,-0.658499531101661,0.0812064758107015,1,0,57.82,18.14,25,68.8,14.66,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0,1,FALSE
Guo,2015,136,-0.532236166086746,0.0814809128849852,2,0,60.41,16.44,24,68.8,14.66,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,FALSE
Guo,2015,137,-0.570890593045463,0.0818989592843684,3,0,59.26,18.27,24,68.8,14.66,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0,1,FALSE
Guo,2015,138,-0.749679748807608,0.0842137010151962,4,0,56.54,17.59,24,68.8,14.66,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0,1,FALSE
Guo,2015,139,-0.383509130182549,0.081986090435936,5,0,62.12,19.68,23,68.8,14.66,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0,1,FALSE
Guo,2015,140,-0.033628300862164,0.0770479107160647,1,1,67.79,17.52,25,68.37,16.48,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0,1,FALSE
Guo,2015,141,0.293133325889336,0.0795461267110266,2,1,72.96,14.12,24,68.37,16.48,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,FALSE
Guo,2015,142,0.402648299147164,0.0802931708880772,3,1,75.4,17.96,24,68.37,16.48,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0,1,FALSE
Guo,2015,143,0.437523248120069,0.0805804350041501,4,1,75.08,13.37,24,68.37,16.48,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0,1,FALSE
Guo,2015,144,0.557922400093479,0.0836280719518629,5,1,77.1,14.02,23,68.37,16.48,27,pcorrect,1,1,1,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0,1,FALSE
Guo,2015,145,-0.285790253480049,0.0778223838541927,1,2,65.11,17.74,25,69.81,14.63,27,pcorrect,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0,1,FALSE
Guo,2015,146,-0.0197602427530528,0.0787075318134454,2,2,69.51,15.3,24,69.81,14.63,27,pcorrect,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,FALSE
Guo,2015,147,-0.200968999187666,0.0790996697687477,3,2,66.43,18.5,24,69.81,14.63,27,pcorrect,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0,1,FALSE
Guo,2015,148,0.151655434692699,0.0789291877318589,4,2,72.18,16.2,24,69.81,14.63,27,pcorrect,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0,1,FALSE
Guo,2015,149,0.12536016174261,0.0806724496081235,5,2,71.74,15.75,23,69.81,14.63,27,pcorrect,1,1,3,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0,1,FALSE
Guo,2015,150,0.188322329286945,0.0773780495342299,1,3,72.62,13.72,25,69.3,20.15,27,pcorrect,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0,1,FALSE
Guo,2015,151,-0.240953140359772,0.0792729038590883,2,3,64.49,19.08,24,69.3,20.15,27,pcorrect,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0,1,FALSE
Guo,2015,152,0.200726611800297,0.0790987152006137,3,3,72.87,13.94,24,69.3,20.15,27,pcorrect,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0,1,FALSE
Guo,2015,153,-0.0151936578868582,0.0787059669119388,4,3,68.99,20.02,24,69.3,20.15,27,pcorrect,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0,1,FALSE
Guo,2015,154,0.335968021911187,0.0816440430240714,5,3,75.4,14.73,23,69.3,20.15,27,pcorrect,1,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hartshorn & Evans,2015,155,0.474585312469169,0.154170948496508,1,0,0.215,0.124,15,0.156,0.116,12,pcorrectTunit,1,0,2,4,0,1,1,2,2,1,99,99,0,1,1,0,2,0,1,0,99,1,0,2,99,0,0,2,1,0,1,0,1,FALSE
Hartshorn & Evans,2015,156,1.43629658957739,0.188202738763549,1,1,0.362,0.158,15,0.164,0.094,12,pcorrectTunit,1,0,2,4,0,1,1,2,2,1,99,99,0,1,1,0,2,0,1,0,99,1,0,2,99,0,0,2,1,0,1,0,1,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hartshorn,2008,157,-0.437053829901158,0.0903779503024123,1,0,79.66,16.05,28,86.62,15.05,19,pcorrectTunit,1,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,1,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,158,-0.649284412707241,0.0928306545402135,1,0,71.68,16.79,28,81.23,10,19,pcorrectTunit,2,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,1,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,159,-0.0537122578527352,0.0883765562216928,1,0,95.8,5.17,28,96.07,4.58,19,pcorrectTunit,3,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,10,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,160,-0.264881155382776,0.089092269198642507,1,0,93.63,6.9,28,95.31,5.08,19,pcorrectTunit,4,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,10,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,161,0.328969028169734,0.0894971478690471,1,1,84.81,15.28,28,79.44,17.14,19,pcorrectTunit,1,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,1,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,162,0.17556582974472,0.0886737727528663,1,1,79.31,15.17,28,76.84,11.54,19,pcorrectTunit,2,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,1,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,163,0.421012917164019,0.0902315229214302,1,1,97.86,3.05,28,96.47,3.52,19,pcorrectTunit,3,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,10,0,2,1,0,1,0,4,FALSE
Hartshorn,2008,164,-0.41127611681341,0.0901453119410277,1,1,93.31,8.23,28,96.25,4.68,19,pcorrectTunit,4,1,2,99,0,2,1,2,2,2,99,99,0,0,1,0,2,0,0,1,1,1,0,2,1,10,0,2,1,0,1,0,4,FALSE
